87,2023-07-24 00:00:00,FQ7,0,510,15,47,17,20
88,2023-07-24 00:00:00,FQ2,0,3400,8,20,18,25
89,2023-07-25 00:00:00,FQ2,0,670,8,20,10,0
90,2023-07-25 00:00:00,FQ2,0,980,14,12,16,50
91,2023-07-25 00:00:00,FQ7,0,900,12,40,15,55
92,2023-07-25 00:00:00,FQ1,0,210,8,20,10,0
93,2023-07-25 00:00:00,FQ1,0,160,14,10,15,55
94,2023-07-25 00:00:00,FQ3,0,1500,8,20,13,50
95,2023-07-26 00:00:00,FQ3,0,1050,11,5,15,0
96,2023-07-26 00:00:00,FQ1,0,1000,8,20,17,20
97,2023-07-26 00:00:00,FQ7,0,660,15,10,17,20
98,2023-07-26 00:00:00,FQ2,0,2100,12,40,18,25
99,2023-07-27 00:00:00,FQ3,0,1150,8,20,12,0
100,2023-07-27 00:00:00,FQ1,0,350,15,10,17,20
101,2023-07-27 00:00:00,MQ1,0,900,9,45,17,20
102,2023-07-27 00:00:00,FQ6,0,800,15,10,17,20
103,2023-07-27 00:00:00,FQ7,0,600,15,10,17,20
104,2023-07-27 00:00:00,FQ2,0,1200,15,10,18,25
105,2023-07-28 00:00:00,FQ3,0,1150,8,20,12,0
106,2023-07-28 00:00:00,FQ7,0,150,11,29,12,0
107,2023-07-28 00:00:00,FQ2,0,400,8,20,9,20
108,2023-07-28 00:00:00,FQ2,0,1100,11,30,15,0
109,2023-07-28 00:00:00,FQ6,0,200,8,50,9,20
110,2023-07-28 00:00:00,FQ6,0,200,14,30,15,0
111,2023-07-28 00:00:00,FQ8,0,400,10,10,15,0
112,2023-07-28 00:00:00,MQ1,0,1250,8,20,17,20
113,2023-07-28 00:00:00,FQ1,0,150,8,20,9,15
114,2023-07-28 00:00:00,FQ1,0,700,11,30,17,20
115,2023-07-31 00:00:00,FQ3,0,1900,8,20,15,0
116,2023-07-31 00:00:00,FQ9,0,900,8,20,15,0
117,2023-07-31 00:00:00,MQ1,0,1200,8,20,17,20
118,2023-07-31 00:00:00,FQ1,0,258,8,20,10,20
119,2023-07-31 00:00:00,FQ1,0,702,12,40,17,20
120,2023-07-31 00:00:00,FQ7,0,1350,12,40,17,20
121,2023-07-31 00:00:00,FQ6,0,850,15,10,17,20
122,2023-07-31 00:00:00,FQ2,0,700,8,20,10,20
123,2023-07-31 00:00:00,FQ2,0,1700,12,40,17,20
